Date,Open,High,Low,Close,Volume
2010-12-02,9.51298,9.55813,9.43644,9.53257,551664171
2010-12-03,9.49531,9.54732,9.4786,9.51101,407686731
2010-12-06,9.5434,9.6582,9.53945,9.59343,530065626
2010-12-07,9.70429,9.70725,9.53161,9.53455,464617259
2010-12-08,9.58164,9.61894,9.5002,9.61894,382229543
2010-12-09,9.66112,9.66309,9.55908,9.58067,349889499
2010-12-10,9.57773,9.61993,9.54534,9.60519,312725942
2010-12-13,9.71805,9.73867,9.61795,9.63758,523061797
2010-12-14,9.6474,9.66409,9.55813,9.59734,418285000
2010-12-15,9.59243,9.67781,9.56399,9.59932,494883057
2010-12-16,9.62091,9.66605,9.59243,9.62482,382938233
2010-12-17,9.62876,9.64151,9.59539,9.60618,460553314
2010-12-20,9.62974,9.6847,9.53555,9.65426,457758279
2010-12-21,9.68173,9.71905,9.6484,9.71313,304937081
2010-12-22,9.71805,9.75826,9.69452,9.74257,316824343
2010-12-23,9.7367,9.74158,9.6837,9.69644,265819296
2010-12-27,9.6837,9.75042,9.63267,9.72785,297121570
2010-12-28,9.76515,9.7877,9.73867,9.7514,209297816
2010-12-29,9.77104,9.78083,9.73963,9.74649,194412774
2010-12-30,9.74944,9.75237,9.67979,9.6984,187631776
2010-12-31,9.67781,9.69255,9.62678,9.66507,230513314
2011-01-03,9.73177,9.89464,9.73177,9.8741,529678320
2011-01-04,9.96337,9.96337,9.83186,9.92603,368143616
2011-01-05,9.88674,10.0192,9.87211,10.0083,302043444
2011-01-06,10.039,10.0459,9.97525,10.0004,357390495
2011-01-07,10.0122,10.0782,9.94467,10.0723,369727008
2011-01-10,10.1527,10.2862,10.1036,10.2605,533772143
2011-01-11,10.3373,10.3383,10.1703,10.2371,527560990
2011-01-12,10.2911,10.3215,10.2469,10.3215,359993405
2011-01-13,10.3432,10.3861,10.3037,10.3577,353429687
2011-01-14,10.3675,10.4392,10.3215,10.4392,366530229
2011-01-18,9.79949,10.3314,9.76611,10.2067,2219274345
2011-01-19,10.4431,10.4441,10.0939,10.1527,1350470558
2011-01-20,10.0742,10.1351,9.89068,9.96935,910362627
2011-01-21,10.0083,10.036,9.78573,9.78869,897959265
2011-01-24,9.79949,10.1104,9.78869,10.1104,683063985
2011-01-25,10.0742,10.2313,10.0262,10.2303,648492641
2011-01-26,10.2755,10.3559,10.2332,10.3037,603434432
2011-01-27,10.3047,10.3295,10.2725,10.2852,339199632
2011-01-28,10.3175,10.3205,9.99475,10.0713,704547870
2011-01-31,10.0654,10.1879,10.0182,10.1666,449199997
2011-02-01,10.2342,10.3569,10.2175,10.3403,507063290
2011-02-02,10.3215,10.3452,10.2939,10.3175,308269310
2011-02-03,10.2998,10.3155,10.143,10.2921,468661490
2011-02-04,10.2959,10.3881,10.2939,10.3822,383083817
2011-02-07,10.4265,10.5845,10.4169,10.5432,577133438
2011-02-08,10.5934,10.652,10.5511,10.6424,452909915
2011-02-09,10.6424,10.7572,10.6326,10.7326,574559604
2011-02-10,10.7218,10.7856,10.4265,10.6237,1105341223
2011-02-11,10.6326,10.7208,10.5944,10.6933,437604587
2011-02-14,10.6913,10.7709,10.6883,10.7611,369504151
2011-02-15,10.7621,10.7856,10.714,10.7836,337307302
2011-02-16,10.8072,10.9339,10.8013,10.8797,566325927
2011-02-17,10.6993,10.7944,10.6826,10.7366,630963812
2011-02-18,10.7366,10.7709,10.4716,10.5032,969439342
2011-02-22,10.244,10.3502,10.1183,10.146,1037519916
2011-02-23,10.147,10.3275,10.146,10.2665,799699772
2011-02-24,10.3077,10.3432,10.138,10.2745,595059698
2011-02-25,10.3482,10.4382,10.3334,10.4304,451890598
2011-02-28,10.5218,10.6385,10.5198,10.5835,479215315
2011-03-01,10.6444,10.658,10.4169,10.4656,542256843
2011-03-02,10.4844,10.6179,10.4372,10.5501,717150269
2011-03-03,10.7101,10.7797,10.664,10.7728,594314834
2011-03-04,10.7728,10.7944,10.7198,10.7856,539562551
2011-03-07,10.8346,10.8366,10.5257,10.6482,649952338
2011-03-08,10.6306,10.7092,10.5541,10.659,424151320
2011-03-09,10.6277,10.6297,10.5041,10.5609,540084489
2011-03-10,10.4548,10.4795,10.3353,10.3871,604456660
2011-03-11,10.3393,10.5559,10.3393,10.5472,560430641
2011-03-14,10.5727,10.6817,10.5257,10.5944,519663602
2011-03-15,10.243,10.4227,10.1899,10.3511,858556939
2011-03-16,10.243,10.2784,9.77496,9.88773,1374468453
2011-03-17,10.0959,10.1752,9.90748,10.0281,784969723
2011-03-18,10.0949,10.1323,9.88674,9.90748,897254147
2011-03-21,10.0723,10.1791,10.0459,10.1656,492314737
2011-03-22,10.2645,10.2665,10.1616,10.2244,388567735
2011-03-23,10.1646,10.1929,10.0664,10.1626,444387393
2011-03-24,10.243,10.3675,10.1537,10.3383,482115148
2011-03-25,10.4265,10.5482,10.3971,10.5332,534867479
2011-03-28,10.5845,10.6169,10.4992,10.4992,368015618
2011-03-29,10.412,10.5158,10.3693,10.5158,419724590
2011-03-30,10.508,10.5129,10.41,10.4441,391732658
2011-03-31,10.3802,10.4804,10.3693,10.4411,326369693
2011-04-01,10.5198,10.5342,10.2882,10.3255,498257043
2011-04-04,10.3255,10.3265,10.138,10.2234,547129668
2011-04-05,10.084,10.2547,10.0684,10.1547,575270111
2011-04-06,10.2313,10.3047,10.1026,10.1283,479103256
2011-04-07,10.1293,10.1999,10.0694,10.1293,444698963
2011-04-08,10.186,10.1909,10.0064,10.0399,449145956
2011-04-11,10.0252,10.0576,9.88773,9.91227,475259575
2011-04-12,9.90848,10.0004,9.89266,9.96039,506729178
2011-04-13,10.034,10.0723,9.96337,10.0723,412389810
2011-04-14,10.0281,10.0684,9.94965,9.96039,359305994
2011-04-15,9.99675,9.99755,9.79165,9.81224,540366871
2011-04-18,9.76906,9.95453,9.59343,9.94368,729313560
2011-04-19,9.98607,10.1263,9.93872,10.1223,498728719
2011-04-20,10.2998,10.3597,10.2332,10.2596,806207562
2011-04-21,10.6179,10.6405,10.4411,10.508,897588718
2011-04-25,10.5022,10.6002,10.4953,10.5775,316711843
2011-04-26,10.5944,10.6365,10.4666,10.4983,402270773
2011-04-27,10.555,10.5569,10.3991,10.4904,423326618
2011-04-28,10.3733,10.4785,10.353,10.3901,429843257
2011-04-29,10.3971,10.6059,10.3871,10.4904,1197314652
2011-05-02,10.4775,10.5002,10.3521,10.3763,526349419
2011-05-03,10.4247,10.4824,10.3559,10.4313,373414937
2011-05-04,10.4333,10.5412,10.3931,10.4725,465535829
2011-05-05,10.4352,10.5158,10.3693,10.3901,399783278
2011-05-06,10.4814,10.4864,10.3743,10.3861,333732447
2011-05-09,10.4237,10.4616,10.3822,10.4149,243894455
2011-05-10,10.45,10.4765,10.3861,10.4696,339764458
2011-05-11,10.4607,10.4864,10.3452,10.4031,398182355
2011-05-12,10.3812,10.4001,10.2547,10.3841,381199654
2011-05-13,10.3617,10.3753,10.1979,10.2029,388408800
2011-05-16,10.1626,10.2254,9.96636,9.98696,535617904
2011-05-17,9.94767,10.0723,9.90946,10.0723,538976810
2011-05-18,10.083,10.2195,10.0684,10.182,398178877
2011-05-19,10.2489,10.2596,10.147,10.2039,310612722
2011-05-20,10.1791,10.2165,10.0399,10.0449,402779288
2011-05-23,9.88872,10.0674,9.87011,10.0212,455525650
2011-05-24,10.0528,10.0645,9.92802,9.95363,383561502
2011-05-25,9.98696,10.144,9.97435,10.0909,350200431
2011-05-26,10.0615,10.0939,10.0222,10.039,265208501
2011-05-27,10.032,10.1154,10.0182,10.1094,242611161
2011-05-31,10.2273,10.4227,10.2175,10.4227,496623642
2011-06-01,10.4588,10.5501,10.3285,10.353,659643685
2011-06-02,10.3831,10.4265,10.3175,10.3713,403719157
2011-06-03,10.2833,10.3482,10.2469,10.2921,373206762
2011-06-06,10.3587,10.3971,10.1213,10.1283,549581757
2011-06-07,10.1313,10.1323,9.94467,9.94865,631078958
2011-06-08,9.94767,10.032,9.90748,9.95453,397420365
2011-06-09,9.98696,9.99854,9.9103,9.93199,327727715
2011-06-10,9.9055,9.93793,9.75237,9.76417,517106000
2011-06-13,9.80343,9.83678,9.73867,9.78573,392668241
2011-06-14,9.88872,9.98607,9.86724,9.96138,398123307
2011-06-15,9.86912,9.89662,9.73275,9.78967,471831987
2011-06-16,9.79165,9.84857,9.53752,9.74257,604752213
2011-06-17,9.86033,9.8653,9.56889,9.59637,732880087
2011-06-20,9.50708,9.51886,9.30397,9.45016,762393371
2011-06-21,9.48355,9.76023,9.44625,9.74649,587157719
2011-06-22,9.7367,9.85448,9.66015,9.66605,464712197
2011-06-23,9.55614,9.93793,9.53161,9.92405,665586753
2011-06-24,9.93298,9.98307,9.73963,9.77789,524016755
2011-06-27,9.81616,10.0044,9.80536,9.94865,404376957
2011-06-28,9.99675,10.0889,9.99175,10.0459,349883347
2011-06-29,10.0733,10.0792,9.94368,10.0092,420160311
2011-06-30,10.0222,10.0723,9.97335,10.0576,384715735
2011-07-01,10.0664,10.293,10.0142,10.2862,524165704
2011-07-05,10.2775,10.4804,10.2625,10.4686,422807424
2011-07-06,10.4548,10.6099,10.3881,10.5392,529232741
2011-07-07,10.6306,10.7267,10.6069,10.7033,475307511
2011-07-08,10.5934,10.7856,10.5521,10.7777,583304971
2011-07-11,10.6817,10.7787,10.5718,10.6069,527244500
2011-07-12,10.5924,10.7179,10.4441,10.6002,537498126
2011-07-13,10.7376,10.7856,10.6787,10.7277,465638717
2011-07-14,10.8131,10.8346,10.6778,10.7198,511328204
2011-07-15,10.816,10.9369,10.7611,10.9349,575835133
2011-07-18,10.9503,11.2252,10.9465,11.1998,680562554
2011-07-19,11.3232,11.346,11.1858,11.2909,956852051
2011-07-20,11.867,11.874,11.5656,11.5935,1120169146
2011-07-21,11.5961,11.6874,11.5029,11.6048,626894175
2011-07-22,11.6364,11.8364,11.6185,11.7835,613369227
2011-07-25,11.6913,11.9846,11.6746,11.9405,701746470
2011-07-26,11.9846,12.1191,11.9749,12.0858,567283869
2011-07-27,11.9955,12.0651,11.75,11.7629,783820506
2011-07-28,11.7335,11.8955,11.6295,11.7394,707351425
2011-07-29,11.6106,11.8403,11.5059,11.7002,752747427
2011-08-01,11.9245,11.9701,11.7569,11.8878,727912479
2011-08-02,11.9196,11.9215,11.6372,11.654,760957970
2011-08-03,11.7186,11.7905,11.4531,11.7629,873104162
2011-08-04,11.6629,11.7256,11.3064,11.3074,1032753508
2011-08-05,11.3829,11.4911,10.8641,11.1948,1434550828
2011-08-08,10.8288,11.019,10.5775,10.5835,1359218663
2011-08-09,10.8406,11.2242,10.6365,11.2056,1288356030
2011-08-10,11.1163,11.2252,10.8611,10.8974,1046284755
2011-08-11,11.1014,11.2487,10.9291,11.1968,883506708
2011-08-12,11.3381,11.3755,11.2125,11.2949,629990851
2011-08-15,11.3765,11.5351,11.3282,11.4882,548007127
2011-08-16,11.4304,11.4872,11.2675,11.4016,594167546
2011-08-17,11.4566,11.5218,11.3262,11.3996,524956747
2011-08-18,11.1064,11.1643,10.8279,10.9691,1013375906
2011-08-19,10.8386,10.9967,10.666,10.6669,924121104
2011-08-22,10.9271,10.9329,10.6395,10.6797,637133284
2011-08-23,10.7954,11.1958,10.6973,11.1938,781883411
2011-08-24,11.1898,11.3559,11.1034,11.2715,697699927
2011-08-25,10.9378,11.2487,10.9369,11.1978,1037590010
2011-08-26,11.1213,11.4999,11.1094,11.493,763651298
2011-08-29,11.6314,11.7305,11.6255,11.6844,482339722
2011-08-30,11.6334,11.7404,11.5726,11.6854,497325642
2011-08-31,11.7149,11.748,11.4413,11.5313,622541462
2011-09-01,11.5628,11.6058,11.4076,11.4156,409000454
2011-09-02,11.234,11.3262,11.1418,11.2066,523046769
2011-09-06,10.9997,11.3966,10.981,11.3783,606180619
2011-09-07,11.5478,11.5538,11.4452,11.5039,416585779
2011-09-08,11.4576,11.6452,11.4549,11.5099,495076724
